,dt,summery,probability_of_precipitation_unit(%),dt_txt,temprature_unit(K),pressure_unit(hPa),sea_level_pressure_unit(hPa),ground_level_pressure_unit(hPa),humidity_unit(%),cloudiness_unit(%),speed,degrees,direction,gust_speed_unit(meter/sec),part_of_day,visibility_distance
0,1771534800,"overcast clouds, 277.99K, feels like 275.27K, winds 3.27 meter/sec from West-Northwest, 90% humidity",0,2026-02-19 21:00:00,277.99,1010,1010,1008,90,100,3.27,300,West-Northwest,7.62,night,10000.0
1,1771545600,"overcast clouds, 277.71K, feels like 275.03K, winds 3.13 meter/sec from West, 87% humidity",0,2026-02-20 00:00:00,277.71,1013,1013,1011,87,100,3.13,276,West,7.62,night,10000.0
2,1771556400,"overcast clouds, 277.42K, feels like 274.89K, winds 2.86 meter/sec from West-Southwest, 87% humidity",0,2026-02-20 03:00:00,277.42,1017,1017,1012,87,100,2.86,248,West-Southwest,8.56,night,10000.0
3,1771567200,"overcast clouds, 278.79K, feels like 276.37K, winds 3.08 meter/sec from Southwest, 89% humidity",0,2026-02-20 06:00:00,278.79,1018,1018,1013,89,100,3.08,229,Southwest,9.26,night,10000.0
4,1771578000,"overcast clouds, 279.68K, feels like 276.84K, winds 4.09 meter/sec from Southwest, 80% humidity",0,2026-02-20 09:00:00,279.68,1018,1018,1014,80,100,4.09,218,Southwest,11.92,day,10000.0
5,1771588800,"overcast clouds, 282.97K, feels like 279.97K, winds 6.61 meter/sec from Southwest, 76% humidity",0,2026-02-20 12:00:00,282.97,1016,1016,1012,76,100,6.61,218,Southwest,15.04,day,10000.0
6,1771599600,"light rain, 282.65K, feels like 279.44K, winds 7.01 meter/sec from Southwest, 91% humidity",100,2026-02-20 15:00:00,282.65,1014,1014,1009,91,100,7.01,228,Southwest,14.36,day,10000.0
7,1771610400,"light rain, 283.89K, feels like 283.06K, winds 8.05 meter/sec from West-Southwest, 78% humidity",100,2026-02-20 18:00:00,283.89,1014,1014,1010,78,93,8.05,256,West-Southwest,15.72,night,10000.0
8,1771621200,"overcast clouds, 281.37K, feels like 278.56K, winds 4.88 meter/sec from West, 87% humidity",0,2026-02-20 21:00:00,281.37,1017,1017,1013,87,100,4.88,259,West,12.87,night,10000.0
9,1771632000,"overcast clouds, 280.64K, feels like 277.84K, winds 4.46 meter/sec from West-Southwest, 90% humidity",0,2026-02-21 00:00:00,280.64,1019,1019,1014,90,100,4.46,253,West-Southwest,12.16,night,10000.0
10,1771642800,"overcast clouds, 280.6K, feels like 277.48K, winds 5.16 meter/sec from West-Southwest, 89% humidity",0,2026-02-21 03:00:00,280.6,1020,1020,1015,89,100,5.16,240,West-Southwest,13.67,night,10000.0
11,1771653600,"overcast clouds, 280.84K, feels like 278K, winds 4.65 meter/sec from Southwest, 93% humidity",0,2026-02-21 06:00:00,280.84,1020,1020,1015,93,100,4.65,228,Southwest,13.44,night,10000.0
12,1771664400,"overcast clouds, 282.98K, feels like 280.52K, winds 5.02 meter/sec from West-Southwest, 92% humidity",0,2026-02-21 09:00:00,282.98,1020,1020,1016,92,100,5.02,240,West-Southwest,12.52,day,10000.0
13,1771675200,"overcast clouds, 284.79K, feels like 284.1K, winds 5.19 meter/sec from West-Southwest, 80% humidity",0,2026-02-21 12:00:00,284.79,1020,1020,1016,80,100,5.19,238,West-Southwest,13.04,day,10000.0
14,1771686000,"light rain, 285.37K, feels like 285.05K, winds 5.26 meter/sec from Southwest, 92% humidity",25,2026-02-21 15:00:00,285.37,1019,1019,1014,92,100,5.26,230,Southwest,12.58,day,10000.0
15,1771696800,"overcast clouds, 285.15K, feels like 284.81K, winds 5.58 meter/sec from Southwest, 92% humidity",0,2026-02-21 18:00:00,285.15,1019,1019,1014,92,100,5.58,233,Southwest,13.98,night,10000.0
16,1771707600,"overcast clouds, 284.77K, feels like 284.36K, winds 5.78 meter/sec from Southwest, 91% humidity",1,2026-02-21 21:00:00,284.77,1019,1019,1014,91,100,5.78,229,Southwest,13.41,night,10000.0
17,1771718400,"overcast clouds, 284.77K, feels like 284.31K, winds 6.06 meter/sec from Southwest, 89% humidity",0,2026-02-22 00:00:00,284.77,1018,1018,1014,89,100,6.06,236,Southwest,13.4,night,10000.0
18,1771729200,"light rain, 284.4K, feels like 283.98K, winds 5.67 meter/sec from Southwest, 92% humidity",100,2026-02-22 03:00:00,284.4,1017,1017,1013,92,100,5.67,236,Southwest,13.11,night,10000.0
19,1771740000,"light rain, 284.17K, feels like 283.73K, winds 5.89 meter/sec from Southwest, 92% humidity",100,2026-02-22 06:00:00,284.17,1016,1016,1012,92,100,5.89,233,Southwest,13.41,night,10000.0
20,1771750800,"light rain, 284.42K, feels like 283.93K, winds 5.77 meter/sec from West-Southwest, 89% humidity",20,2026-02-22 09:00:00,284.42,1017,1017,1012,89,100,5.77,237,West-Southwest,13.36,day,10000.0
21,1771761600,"light rain, 286.67K, feels like 285.83K, winds 5.25 meter/sec from West-Southwest, 67% humidity",20,2026-02-22 12:00:00,286.67,1017,1017,1012,67,97,5.25,249,West-Southwest,10.05,day,10000.0
22,1771772400,"broken clouds, 287.07K, feels like 286.16K, winds 5.06 meter/sec from Southwest, 63% humidity",0,2026-02-22 15:00:00,287.07,1015,1015,1011,63,53,5.06,236,Southwest,11.05,day,10000.0
23,1771783200,"broken clouds, 284.91K, feels like 284.13K, winds 5.55 meter/sec from West-Southwest, 76% humidity",0,2026-02-22 18:00:00,284.91,1015,1015,1011,76,77,5.55,240,West-Southwest,12.86,night,10000.0
24,1771794000,"light rain, 283.18K, feels like 282.33K, winds 5.86 meter/sec from West-Southwest, 80% humidity",22,2026-02-22 21:00:00,283.18,1016,1016,1011,80,72,5.86,253,West-Southwest,13.7,night,10000.0
25,1771804800,"light rain, 281.98K, feels like 278.82K, winds 6.25 meter/sec from West-Southwest, 80% humidity",20,2026-02-23 00:00:00,281.98,1015,1015,1011,80,52,6.25,245,West-Southwest,14.45,night,10000.0
26,1771815600,"scattered clouds, 281.3K, feels like 278.08K, winds 5.91 meter/sec from West-Southwest, 80% humidity",0,2026-02-23 03:00:00,281.3,1016,1016,1011,80,26,5.91,248,West-Southwest,14.15,night,10000.0
27,1771826400,"broken clouds, 281.68K, feels like 278.48K, winds 6.12 meter/sec from West, 74% humidity",0,2026-02-23 06:00:00,281.68,1016,1016,1012,74,64,6.12,260,West,14.05,night,10000.0
28,1771837200,"overcast clouds, 282.64K, feels like 279.83K, winds 5.75 meter/sec from West-Southwest, 71% humidity",0,2026-02-23 09:00:00,282.64,1017,1017,1013,71,100,5.75,250,West-Southwest,13.54,day,10000.0
29,1771848000,"overcast clouds, 284.8K, feels like 283.74K, winds 5.84 meter/sec from West-Southwest, 66% humidity",0,2026-02-23 12:00:00,284.8,1017,1017,1013,66,100,5.84,248,West-Southwest,13.16,day,10000.0
30,1771858800,"overcast clouds, 286.12K, feels like 285.14K, winds 5.27 meter/sec from West-Southwest, 64% humidity",0,2026-02-23 15:00:00,286.12,1018,1018,1013,64,100,5.27,253,West-Southwest,12.57,day,10000.0
31,1771869600,"overcast clouds, 284.38K, feels like 283.54K, winds 4.73 meter/sec from Southwest, 76% humidity",0,2026-02-23 18:00:00,284.38,1019,1019,1014,76,100,4.73,236,Southwest,10.64,night,10000.0
32,1771880400,"overcast clouds, 283.64K, feels like 282.96K, winds 4.6 meter/sec from Southwest, 85% humidity",0,2026-02-23 21:00:00,283.64,1019,1019,1014,85,100,4.6,226,Southwest,11.66,night,10000.0
33,1771891200,"overcast clouds, 284.27K, feels like 283.89K, winds 4.52 meter/sec from West-Southwest, 94% humidity",0,2026-02-24 00:00:00,284.27,1019,1019,1014,94,100,4.52,238,West-Southwest,12.09,night,10000.0
34,1771902000,"overcast clouds, 284.63K, feels like 284.26K, winds 4.03 meter/sec from Southwest, 93% humidity",0,2026-02-24 03:00:00,284.63,1018,1018,1014,93,100,4.03,233,Southwest,12.0,night,10000.0
35,1771912800,"broken clouds, 283.44K, feels like 283.01K, winds 3.88 meter/sec from Southwest, 95% humidity",0,2026-02-24 06:00:00,283.44,1019,1019,1015,95,76,3.88,223,Southwest,12.67,night,10000.0
36,1771923600,"overcast clouds, 284.87K, feels like 284.32K, winds 5.16 meter/sec from Southwest, 85% humidity",0,2026-02-24 09:00:00,284.87,1019,1019,1015,85,89,5.16,224,Southwest,12.2,day,10000.0
37,1771934400,"overcast clouds, 286.17K, feels like 285.54K, winds 5.47 meter/sec from Southwest, 77% humidity",0,2026-02-24 12:00:00,286.17,1019,1019,1015,77,95,5.47,220,Southwest,11.9,day,10000.0
